UMAP1,UMAP2,Hour,Arrest,Time_Period
12.048074,11.1686125,16,False,Day (6AM-6PM)
8.287658,2.21086,10,False,Day (6AM-6PM)
9.929489,1.7728263,9,True,Day (6AM-6PM)
14.414581,7.206893,16,False,Day (6AM-6PM)
8.033664,8.650872,11,False,Day (6AM-6PM)
14.538707,1.8799729,17,False,Day (6AM-6PM)
15.739041,4.0913763,13,False,Day (6AM-6PM)
10.753308,4.735147,8,False,Day (6AM-6PM)
11.015679,5.2675605,10,True,Day (6AM-6PM)
12.657473,11.087746,17,False,Day (6AM-6PM)
13.698395,4.0893273,12,False,Day (6AM-6PM)
8.636449,1.2876499,4,False,Night (6PM-6AM)
11.672202,-0.16708452,19,False,Night (6PM-6AM)
9.919793,8.307836,6,False,Day (6AM-6PM)
7.6428566,2.852679,11,True,Day (6AM-6PM)
14.376792,7.037998,18,True,Night (6PM-6AM)
-2.7461085,3.2202268,22,True,Night (6PM-6AM)
-5.980723,4.2400403,18,False,Night (6PM-6AM)
14.170731,3.5222635,13,False,Day (6AM-6PM)
15.317442,3.1586697,12,False,Day (6AM-6PM)
9.787723,5.2243824,1,False,Night (6PM-6AM)
13.7775135,7.35336,23,False,Night (6PM-6AM)
12.069605,3.698178,12,False,Day (6AM-6PM)
7.7204566,5.3977437,8,False,Day (6AM-6PM)
14.506739,-1.0713137,22,False,Night (6PM-6AM)
8.690851,3.9642031,11,False,Day (6AM-6PM)
8.108474,9.378059,11,True,Day (6AM-6PM)
-1.9476463,7.8469152,9,False,Day (6AM-6PM)
13.56043,1.6051252,15,True,Day (6AM-6PM)
11.355323,2.927072,19,True,Night (6PM-6AM)
-3.7766185,7.5346127,14,False,Day (6AM-6PM)
-1.8490125,6.2290263,2,False,Night (6PM-6AM)
7.572023,8.5038395,2,False,Night (6PM-6AM)
11.374354,10.842874,14,False,Day (6AM-6PM)
-2.9619362,3.4527311,14,False,Day (6AM-6PM)
-5.098057,4.1102815,23,False,Night (6PM-6AM)
-4.1732264,4.8196545,15,False,Day (6AM-6PM)
-2.9375353,5.914212,0,False,Night (6PM-6AM)
13.675494,6.6614656,21,False,Night (6PM-6AM)
-4.3721333,5.2551584,19,False,Night (6PM-6AM)
9.599376,5.9371023,9,False,Day (6AM-6PM)
11.200535,10.700149,17,False,Day (6AM-6PM)
10.749334,5.2870774,5,False,Night (6PM-6AM)
10.196329,3.1109092,3,False,Night (6PM-6AM)
7.6836305,5.6570296,0,False,Night (6PM-6AM)
12.8307295,-0.3812199,12,False,Day (6AM-6PM)
-3.6620598,8.662914,22,False,Night (6PM-6AM)
