TSNE1,TSNE2,Hour,Arrest,Time_Period
-44.080273,-49.337563,13,True,Day (6AM-6PM)
35.357426,32.192333,8,False,Day (6AM-6PM)
-52.705723,9.37865,5,False,Night (6PM-6AM)
-60.91678,-29.066898,15,False,Day (6AM-6PM)
-10.736758,-26.032703,19,True,Night (6PM-6AM)
-66.733475,17.132906,6,False,Day (6AM-6PM)
-36.33536,-21.180454,20,False,Night (6PM-6AM)
-74.855995,-18.250414,15,True,Day (6AM-6PM)
-24.666433,-70.614456,20,False,Night (6PM-6AM)
-58.18137,-32.835392,15,False,Day (6AM-6PM)
-14.535026,-42.0313,14,True,Day (6AM-6PM)
-46.213432,12.36983,0,False,Night (6PM-6AM)
35.29693,60.488796,22,False,Night (6PM-6AM)
-61.083416,24.200031,9,False,Day (6AM-6PM)
12.216617,5.4694724,9,False,Day (6AM-6PM)
-73.843,-41.24281,22,False,Night (6PM-6AM)
-5.1479483,19.010883,3,False,Night (6PM-6AM)
-11.478827,19.488409,7,False,Day (6AM-6PM)
69.89254,-38.698586,16,False,Day (6AM-6PM)
-46.05473,63.47418,22,False,Night (6PM-6AM)
-2.1348898,79.06478,15,False,Day (6AM-6PM)
-1.4042081,79.69847,16,False,Day (6AM-6PM)
-31.85751,-0.087938726,9,False,Day (6AM-6PM)
37.695107,76.892456,21,False,Night (6PM-6AM)
22.983341,-56.69302,19,False,Night (6PM-6AM)
-72.13425,-44.23346,15,False,Day (6AM-6PM)
12.637702,-34.63856,17,False,Day (6AM-6PM)
76.21981,14.32511,0,False,Night (6PM-6AM)
7.4147096,35.602802,4,False,Night (6PM-6AM)
-63.075806,-25.845287,13,False,Day (6AM-6PM)
46.67427,-45.426117,13,False,Day (6AM-6PM)
-4.77051,12.611101,5,True,Night (6PM-6AM)
-21.194082,-58.364693,19,True,Night (6PM-6AM)
73.11681,-33.39399,15,False,Day (6AM-6PM)
61.401836,-53.169765,16,False,Day (6AM-6PM)
9.571904,4.6934724,4,False,Night (6PM-6AM)
49.69023,15.647071,1,False,Night (6PM-6AM)
43.485935,-13.499638,22,False,Night (6PM-6AM)
40.796215,7.7742405,2,False,Night (6PM-6AM)
26.869694,0.6858587,11,False,Day (6AM-6PM)
-33.366123,5.5805826,3,False,Night (6PM-6AM)
-32.34663,-28.345095,12,False,Day (6AM-6PM)
37.25074,37.938774,3,False,Night (6PM-6AM)
8.547661,-37.398663,19,True,Night (6PM-6AM)
-33.444088,-58.100765,18,True,Night (6PM-6AM)
12.420386,36.79738,2,False,Night (6PM-6AM)
1.0876689,65.54519,23,False,Night (6PM-6AM)
-37.480446,74.05573,19,False,Night (6PM-6AM)
-1.1321107,96.52084,19,True,Night (6PM-6AM)
-1.6727592,92.48357,12,False,Day (6AM-6PM)
-20.648212,31.757694,1,False,Night (6PM-6AM)
-40.24807,-25.967054,15,False,Day (6AM-6PM)
68.46118,-21.264511,12,False,Day (6AM-6PM)
58.113216,1.1805406,0,True,Night (6PM-6AM)
-2.4892683,4.1492276,8,False,Day (6AM-6PM)
28.789951,-22.145245,13,False,Day (6AM-6PM)
-5.572363,20.118818,2,False,Night (6PM-6AM)
0.6421504,3.2482479,4,False,Night (6PM-6AM)
-32.448498,-43.506638,19,False,Night (6PM-6AM)
-8.930404,21.055616,0,False,Night (6PM-6AM)
-62.231426,1.7437289,6,False,Day (6AM-6PM)
13.417045,3.8999114,9,False,Day (6AM-6PM)
-21.374138,-13.065645,8,False,Day (6AM-6PM)
-17.306988,-45.437023,22,False,Night (6PM-6AM)
-73.206985,-5.3873925,4,False,Night (6PM-6AM)
19.401497,-58.503838,18,False,Night (6PM-6AM)
2.7943811,10.679807,10,False,Day (6AM-6PM)
-5.72171,87.96578,22,False,Night (6PM-6AM)
38.468906,37.189804,3,False,Night (6PM-6AM)
-7.3561172,-52.43751,18,False,Night (6PM-6AM)
49.87183,12.802481,0,False,Night (6PM-6AM)
42.899975,37.46452,3,False,Night (6PM-6AM)
-41.59125,64.06901,21,False,Night (6PM-6AM)
83.15662,-21.257475,21,False,Night (6PM-6AM)
-26.55439,35.649734,5,False,Night (6PM-6AM)
-34.123405,7.40912,1,False,Night (6PM-6AM)
49.20797,50.243477,4,False,Night (6PM-6AM)
75.99723,-32.419495,12,True,Day (6AM-6PM)
-66.87352,-31.643955,17,False,Day (6AM-6PM)
26.994852,-30.837872,20,True,Night (6PM-6AM)
-0.37222365,-87.518555,12,False,Day (6AM-6PM)
-13.126905,-12.502092,8,False,Day (6AM-6PM)
-0.8270966,85.3638,22,True,Night (6PM-6AM)
46.97569,-43.678288,17,False,Day (6AM-6PM)
-41.906418,-15.649863,15,False,Day (6AM-6PM)
7.093992,37.915833,10,False,Day (6AM-6PM)
70.88857,-30.957117,20,False,Night (6PM-6AM)
-5.808731,-5.497018,8,False,Day (6AM-6PM)
21.082005,38.927795,10,True,Day (6AM-6PM)
-53.870026,-9.6856365,21,False,Night (6PM-6AM)
-4.374103,12.068368,0,True,Night (6PM-6AM)
-50.42818,-15.972676,15,False,Day (6AM-6PM)
40.912807,-13.043309,19,False,Night (6PM-6AM)
-50.319725,51.950706,15,False,Day (6AM-6PM)
54.896137,-24.165606,19,False,Night (6PM-6AM)
2.7634895,10.5356655,6,False,Day (6AM-6PM)
47.171127,44.842224,1,False,Night (6PM-6AM)
-70.04276,-36.423622,18,False,Night (6PM-6AM)
27.53901,7.1676846,8,True,Day (6AM-6PM)
-17.455896,-9.595848,11,True,Day (6AM-6PM)
30.155293,-75.06455,22,False,Night (6PM-6AM)
-19.445852,6.2207346,2,False,Night (6PM-6AM)
-12.024917,-6.0612993,3,True,Night (6PM-6AM)
51.357662,15.463848,9,False,Day (6AM-6PM)
1.326043,-4.8031297,11,False,Day (6AM-6PM)
-37.96416,-40.05554,15,True,Day (6AM-6PM)
48.57696,-29.095123,12,False,Day (6AM-6PM)
66.704056,7.183287,10,True,Day (6AM-6PM)
78.04888,-24.705156,17,False,Day (6AM-6PM)
62.437042,-49.783165,21,False,Night (6PM-6AM)
-70.0298,6.095753,11,True,Day (6AM-6PM)
26.516813,68.44706,19,False,Night (6PM-6AM)
-34.245247,-47.39486,13,True,Day (6AM-6PM)
81.93414,-28.721272,17,False,Day (6AM-6PM)
-13.135222,84.05917,17,False,Day (6AM-6PM)
52.687225,-17.524773,22,False,Night (6PM-6AM)
-10.731825,12.114533,9,False,Day (6AM-6PM)
33.92631,0.36835098,9,False,Day (6AM-6PM)
69.50551,3.2830133,4,False,Night (6PM-6AM)
29.155302,-64.749695,22,False,Night (6PM-6AM)
-29.09003,6.123334,11,False,Day (6AM-6PM)
27.061941,-69.988495,12,False,Day (6AM-6PM)
-74.38719,7.826221,9,False,Day (6AM-6PM)
-76.71247,-25.442335,20,True,Night (6PM-6AM)
0.45719865,-4.20377,5,False,Night (6PM-6AM)
15.766211,14.105202,0,False,Night (6PM-6AM)
-22.65478,38.953865,8,False,Day (6AM-6PM)
-66.60362,21.159334,0,False,Night (6PM-6AM)
-12.650658,-65.45985,14,False,Day (6AM-6PM)
-62.059967,-46.72956,18,False,Night (6PM-6AM)
68.76121,-16.779352,14,True,Day (6AM-6PM)
55.969276,-41.6743,16,False,Day (6AM-6PM)
5.5890126,-60.391273,20,False,Night (6PM-6AM)
18.842955,-29.368551,23,False,Night (6PM-6AM)
33.063835,-15.810351,14,False,Day (6AM-6PM)
-15.169133,-48.849487,13,False,Day (6AM-6PM)
20.857653,73.98925,16,False,Day (6AM-6PM)
25.543797,70.78091,18,True,Night (6PM-6AM)
-69.3288,20.002031,2,False,Night (6PM-6AM)
-73.6366,-23.547735,18,False,Night (6PM-6AM)
-26.995155,-83.6882,15,True,Day (6AM-6PM)
55.21847,-43.45374,17,False,Day (6AM-6PM)
46.381187,50.85026,9,False,Day (6AM-6PM)
21.110874,40.83078,8,False,Day (6AM-6PM)
-4.0396647,4.209911,11,True,Day (6AM-6PM)
35.56137,39.687412,5,False,Night (6PM-6AM)
-10.865893,13.95974,9,False,Day (6AM-6PM)
-40.66291,41.78167,7,False,Day (6AM-6PM)
-5.1223526,48.552288,2,False,Night (6PM-6AM)
-18.838758,-5.801328,7,True,Day (6AM-6PM)
2.721699,-67.09211,20,False,Night (6PM-6AM)
-69.22675,14.498129,6,False,Day (6AM-6PM)
-0.9367375,24.739674,10,False,Day (6AM-6PM)
45.70888,5.1254506,3,False,Night (6PM-6AM)
6.3625574,-9.533913,3,True,Night (6PM-6AM)
53.31556,-44.218555,12,False,Day (6AM-6PM)
-62.489006,1.9604905,0,False,Night (6PM-6AM)
71.45431,-12.706932,14,False,Day (6AM-6PM)
69.199135,24.785368,3,False,Night (6PM-6AM)
-24.443506,-81.82332,12,False,Day (6AM-6PM)
-63.77096,-24.600956,17,False,Day (6AM-6PM)
67.394646,11.753088,10,False,Day (6AM-6PM)
-12.06207,33.356625,3,True,Night (6PM-6AM)
-31.374659,-30.753191,23,False,Night (6PM-6AM)
10.546292,-39.08239,23,False,Night (6PM-6AM)
5.934434,-40.73608,19,False,Night (6PM-6AM)
-2.4385586,-4.712638,4,False,Night (6PM-6AM)
-21.93357,42.486824,8,True,Day (6AM-6PM)
70.26603,-37.69275,13,False,Day (6AM-6PM)
4.075814,-30.034971,23,False,Night (6PM-6AM)
-19.449482,75.1481,12,False,Day (6AM-6PM)
-50.81748,-14.487291,19,True,Night (6PM-6AM)
8.495084,-39.216408,20,True,Night (6PM-6AM)
75.568245,-25.26743,19,True,Night (6PM-6AM)
-71.41333,-0.76306325,9,False,Day (6AM-6PM)
63.731075,-46.81409,22,True,Night (6PM-6AM)
37.231045,38.735703,3,False,Night (6PM-6AM)
-71.507805,18.347603,1,True,Night (6PM-6AM)
79.59703,-20.728064,15,True,Day (6AM-6PM)
